zip,lat,lng
46001,40.251414, -85.658072
46011,40.129994, -85.760692
46012,40.154670, -85.619672
46013,40.047934, -85.681768
46016,40.097817, -85.681513
46017,40.069277, -85.607160
46030,40.159492, -86.009481
46031,40.210969, -86.018095
46032,39.962604, -86.174761
46033,39.979283, -86.085557
46034,40.127927, -86.046784
46035,40.190015, -86.677981
46036,40.295166, -85.831108
46037,39.960563, -85.947162
46038,39.966704, -86.017173
46039,40.369458, -86.312273
46040,39.927284, -85.834273
46041,40.295035, -86.493864
46044,40.211777, -85.792705
46045,40.288764, -86.149860
46047,40.284140, -85.947357
46048,39.955501, -85.801742
46049,40.294988, -86.221816
46050,40.204434, -86.348899
46051,40.057932, -85.837287
46052,40.042907, -86.456535
46055,39.888415, -85.902210
46056,39.975850, -85.611772
46057,40.336265, -86.377328
46058,40.361165, -86.647378
46060,40.064624, -85.915911
46062,40.061266, -86.056039
46063,40.270448, -85.723973
46064,39.981812, -85.738750
46065,40.427348, -86.610394
46068,40.376963, -86.115827
46069,40.138691, -86.228367
46070,40.335565, -85.662341
46071,40.119997, -86.608790
46072,40.286104, -86.067353
46074,40.034796, -86.170706
46075,40.020864, -86.330672
46076,40.356035, -85.928005
46077,39.984562, -86.282625
46103,39.688623, -86.613632
46104,39.658470, -85.601830
46105,39.764072, -86.810568
46106,39.513173, -86.205119
46107,39.716414, -86.091463
46110,39.551781, -85.926480
46111,39.538824, -86.369536
46112,39.863910, -86.382425
46113,39.636299, -86.302553
46115,39.738754, -85.566649
46117,39.814706, -85.615963
46118,39.662375, -86.518005
46120,39.511432, -86.789094
46121,39.679042, -86.678783
46122,39.773312, -86.551134
46123,39.764395, -86.403457
46124,39.370017, -85.927910
46125,39.521518, -86.641603
46126,39.618024, -85.880340
46127,39.711952, -85.312209
46128,39.658583, -86.742562
46130,39.672748, -85.835022
46131,39.473489, -86.043592
46133,39.595055, -85.310832
46135,39.654571, -86.893996
46140,39.801973, -85.772071
46142,39.621810, -86.175319
46143,39.595860, -86.116319
46144,39.655159, -85.647354
46146,39.585666, -85.568334
46147,39.971149, -86.622827
46148,39.811400, -85.512466
46149,39.883167, -86.553583
46150,39.545464, -85.602908
46151,39.457212, -86.433280
46155,39.743501, -85.429741
46156,39.489361, -85.494450
46157,39.553630, -86.528731
46158,39.579356, -86.373602
46160,39.351134, -86.268692
46161,39.669880, -85.696284
46162,39.555779, -85.953942
46163,39.730807, -85.900593
46164,39.327830, -86.126245
46165,39.849828, -86.640151
46166,39.432913, -86.587296
46167,39.876973, -86.467801
46168,39.685257, -86.392912
46171,39.525101, -86.960902
46172,39.827835, -86.818464
46173,39.600880, -85.430616
46175,39.815724, -86.966359
46176,39.527281, -85.774394
46180,39.592189, -86.618525
46181,39.372155, -86.171601
46182,39.458501, -85.669492
46183,39.652679, -86.281653
46184,39.561936, -86.072222
46186,39.894213, -85.644782
46201,39.774142, -86.109200
46202,39.784102, -86.163477
46203,39.737584, -86.096930
46204,39.771994, -86.156997
46205,39.829397, -86.134374
46208,39.819111, -86.171089
46214,39.792817, -86.291528
46216,39.871602, -86.011557
46217,39.674631, -86.191451
46218,39.807262, -86.099746
46219,39.782412, -86.042939
46220,39.867114, -86.108848
46221,39.691852, -86.238222
46222,39.790968, -86.215260
46224,39.795413, -86.256890
46225,39.740314, -86.163255
46226,39.838896, -86.052485
46227,39.674763, -86.132676
46228,39.848228, -86.200725
46229,39.788484, -85.977075
46231,39.715527, -86.320620
46234,39.813309, -86.326363
46235,39.836957, -85.974537
46236,39.895722, -85.967501
46237,39.671143, -86.072110
46239,39.721517, -85.999033
46240,39.906046, -86.124634
46241,39.729852, -86.285424
46250,39.898839, -86.058720
46254,39.849717, -86.271637
46256,39.908383, -86.013138
46259,39.650921, -85.981465
46260,39.898143, -86.177595
46268,39.898613, -86.233341
46278,39.892946, -86.298050
46280,39.932373, -86.131280
46290,39.938421, -86.163234
46301,41.691148, -86.978774
46303,41.373714, -87.478977
46304,41.613633, -87.046206
46307,41.403937, -87.326039
46310,41.179926, -87.230800
46311,41.465084, -87.508915
46312,41.646953, -87.453983
46319,41.525472, -87.422201
46320,41.691764, -87.510917
46321,41.547510, -87.503268
46322,41.546622, -87.457616
46323,41.589434, -87.453729
46324,41.583084, -87.501585
46327,41.627870, -87.498701
46340,41.382571, -86.770664
46341,41.309672, -87.214561
46342,41.518185, -87.244908
46345,41.527320, -86.698715
46346,41.472000, -86.692637
46347,41.306668, -87.013293
46348,41.310322, -86.861894
46349,41.097944, -87.412468
46350,41.607057, -86.721724
46356,41.256618, -87.422184
46360,41.689340, -86.869265
46365,41.611548, -86.545465
46366,41.215648, -86.768059
46368,41.590820, -87.180707
46371,41.688094, -86.595221
46373,41.448355, -87.467901
46374,41.204502, -86.897332
46375,41.491818, -87.448746
46376,41.184664, -87.475764
46377,41.194734, -87.338678
46379,41.167886, -87.439972
46381,41.168551, -87.324634
46382,41.461306, -86.761986
46383,41.463199, -87.007505
46385,41.460058, -87.129705
46390,41.419466, -86.881518
46391,41.554106, -86.918985
46392,41.178401, -87.048317
46393,41.508211, -87.177620
46394,41.677695, -87.489493
46402,41.599334, -87.330662
46403,41.608093, -87.262233
46404,41.584047, -87.374030
46405,41.575007, -87.262305
46406,41.602997, -87.408048
46407,41.578440, -87.330137
46408,41.545938, -87.368484
46409,41.548312, -87.324279
46410,41.480207, -87.333065
46501,41.223031, -86.246291
46502,41.259415, -85.976238
46504,41.301061, -86.111272
46506,41.462622, -86.172400
46507,41.720973, -85.818067
46508,41.150407, -85.976783
46510,41.121661, -85.870707
46511,41.219420, -86.426977
46514,41.722641, -85.976908
46516,41.676594, -85.944127
46517,41.627290, -85.997855
46524,41.305641, -86.014116
46526,41.558780, -85.876662
46528,41.600525, -85.784864
46530,41.740931, -86.126918
46531,41.356985, -86.519382
46532,41.411435, -86.611346
46534,41.285345, -86.617818
46536,41.514551, -86.298011
46537,41.459879, -86.310197
46538,41.330237, -85.823415
46539,41.163149, -86.026511
46540,41.680015, -85.698192
46542,41.396628, -85.869691
46543,41.535194, -85.672121
46544,41.615082, -86.147820
46545,41.693766, -86.146824
46550,41.445994, -86.000647
46552,41.706315, -86.481879
46553,41.479526, -85.849206
46554,41.557413, -86.416992
46555,41.326506, -85.680481
46556,41.707119, -86.251338
46561,41.663978, -86.075352
46562,41.208342, -85.684898
46563,41.356728, -86.327261
46565,41.694850, -85.577499
46567,41.416491, -85.725422
46570,41.197926, -86.121792
46571,41.575590, -85.547199
46573,41.544364, -86.069668
46574,41.481951, -86.486629
46580,41.213832, -85.869547
46582,41.280602, -85.854448
46590,41.217143, -85.813135
46595,41.526336, -86.166605
46601,41.670274, -86.252661
46613,41.655494, -86.258431
46614,41.603188, -86.279210
46615,41.673953, -86.211710
46616,41.697826, -86.266028
46617,41.684553, -86.234758
46619,41.660941, -86.353750
46628,41.723298, -86.328342
46635,41.714357, -86.201743
46637,41.733701, -86.241470
46701,41.360791, -85.431238
46702,40.831378, -85.628114
46703,41.649589, -85.006550
46704,41.103975, -85.292577
46705,41.518869, -85.059669
46706,41.341594, -85.032655
46710,41.342351, -85.242144
46711,40.661951, -84.926879
46714,40.722652, -85.176526
46721,41.423132, -84.876656
46723,41.245530, -85.326545
46725,41.148544, -85.475768
46730,41.458442, -85.151597
46731,40.793538, -85.099634
46732,41.379566, -85.622389
46733,40.828228, -84.940039
46737,41.719282, -84.929830
46738,41.318908, -85.148865
46740,40.604280, -84.964762
